$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
OR
$GNSS; lat (degrees); lon (degrees); alt_ellips (m); True T_GNSS (s); Xmn95; Ymn95; H RAN95 
$Tacheo;971.5942;1966.9685;3006.8252;3.851842;1.415394;44.1000;44021.464
$GNSS;46.77985010;6.66118911;505.547;44021.500;2540628.350;1181259.265;455.779
$Tacheo;971.5920;1966.9686;3006.8319;3.851880;1.415249;44.1024;44021.550
$Tacheo;971.6005;1966.9621;3006.8463;3.851636;1.414924;44.1040;44021.653
$Tacheo;971.6110;1966.9627;3006.8649;3.851461;1.414482;44.0997;44021.752
$Tacheo;971.6251;1966.9685;3006.8804;3.851303;1.414088;44.0886;44021.860
$Tacheo;971.6407;1966.9772;3006.8911;3.851162;1.413788;44.0738;44021.968
$GNSS;46.77985117;6.66119041;505.566;44022.000;2540628.450;1181259.383;455.798
$Tacheo;971.6522;1966.9838;3006.8951;3.851060;1.413654;44.0621;44022.059
$Tacheo;971.6645;1966.9910;3006.8997;3.850953;1.413504;44.0495;44022.166
$Tacheo;971.6855;1967.0054;3006.9062;3.850803;1.413269;44.0262;44022.271
$Tacheo;971.7004;1967.0161;3006.9083;3.850702;1.413158;44.0089;44022.378
$Tacheo;971.7271;1967.0295;3006.9146;3.850437;1.412918;43.9827;44022.482
$GNSS;46.77985193;6.66119003;505.579;44022.500;2540628.422;1181259.468;455.811
$Tacheo;971.7371;1967.0353;3006.9173;3.850349;1.412819;43.9723;44022.551
$Tacheo;971.7605;1967.0407;3006.9170;3.850021;1.412756;43.9532;44022.652
$Tacheo;971.7835;1967.0473;3006.9115;3.849716;1.412808;43.9326;44022.744
$Tacheo;971.8206;1967.0549;3006.8979;3.849181;1.413009;43.9010;44022.835
$Tacheo;971.8643;1967.0594;3006.8869;3.848483;1.413142;43.8678;44022.940
$Tacheo;971.8957;1967.0615;3006.8792;3.847962;1.413237;43.8448;44023.046
$GNSS;46.77985375;6.66119142;505.633;44023.000;2540628.530;1181259.669;455.865
$Tacheo;971.9068;1967.0648;3006.8749;3.847818;1.413299;43.8346;44023.046
$Tacheo;971.9400;1967.0658;3006.8692;3.847249;1.413347;43.8117;44023.138
$Tacheo;971.9759;1967.0629;3006.8676;3.846572;1.413307;43.7906;44023.247
$Tacheo;972.0097;1967.0779;3006.8739;3.846201;1.413045;43.7587;44023.353
$Tacheo;972.0518;1967.0849;3006.8825;3.845563;1.412735;43.7279;44023.461
$GNSS;46.77985514;6.66119335;505.543;44023.500;2540628.679;1181259.822;455.775
$Tacheo;972.0677;1967.0866;3006.8842;3.845308;1.412654;43.7167;44023.551
$Tacheo;972.1043;1967.0901;3006.8901;3.844715;1.412426;43.6916;44023.657
$Tacheo;972.1385;1967.0938;3006.8946;3.844166;1.412234;43.6677;44023.758
$Tacheo;972.1543;1967.0897;3006.8965;3.843823;1.412165;43.6610;44023.850
$Tacheo;972.1845;1967.0958;3006.9009;3.843380;1.411980;43.6379;44023.961
$GNSS;46.77985630;6.66119434;505.554;44024.000;2540628.756;1181259.950;455.786
$Tacheo;972.2023;1967.1010;3006.9061;3.843143;1.411804;43.6234;44024.049
$Tacheo;972.2231;1967.1032;3006.9097;3.842806;1.411668;43.6090;44024.156
$Tacheo;972.2447;1967.1027;3006.9154;3.842415;1.411490;43.5966;44024.263
$Tacheo;972.2676;1967.1016;3006.9219;3.841991;1.411292;43.5839;44024.366
$Tacheo;972.3140;1967.0972;3006.9357;3.841101;1.410884;43.5599;44024.477
$GNSS;46.77985711;6.66119507;505.595;44024.500;2540628.813;1181260.040;455.827
$Tacheo;972.3340;1967.0803;3006.9357;3.840492;1.410884;43.5599;44024.556
$Tacheo;972.3698;1967.0795;3006.9364;3.839843;1.410785;43.5379;44024.665
$Tacheo;972.3967;1967.0725;3006.9324;3.839258;1.410832;43.5255;44024.770
$Tacheo;972.4205;1967.0607;3006.9291;3.838656;1.410885;43.5188;44024.878
$Tacheo;972.4449;1967.0480;3006.9267;3.838033;1.410917;43.5126;44024.984
$GNSS;46.77985775;6.66119678;505.626;44025.000;2540628.944;1181260.110;455.858
$Tacheo;972.4655;1967.0367;3006.9243;3.837495;1.410955;43.5077;44025.049
$Tacheo;972.4862;1967.0252;3006.9233;3.836954;1.410961;43.5032;44025.153
$Tacheo;972.5141;1967.0091;3006.9229;3.836215;1.410950;43.4977;44025.262
$Tacheo;972.5346;1966.9999;3006.9218;3.835710;1.410954;43.4916;44025.366
$Tacheo;972.5629;1966.9857;3006.9194;3.834992;1.410982;43.4841;44025.474
$GNSS;46.77985801;6.66119876;505.600;44025.500;2540629.095;1181260.137;455.832
$Tacheo;972.5850;1966.9731;3006.9132;3.834409;1.411107;43.4787;44025.551
$Tacheo;972.6213;1966.9440;3006.8977;3.833326;1.411455;43.4755;44025.654
$Tacheo;972.6458;1966.9204;3006.8840;3.832534;1.411775;43.4759;44025.747
$Tacheo;972.6663;1966.8978;3006.8698;3.831830;1.412114;43.4779;44025.854
$Tacheo;972.6895;1966.8725;3006.8562;3.831039;1.412441;43.4805;44025.958
$GNSS;46.77985846;6.66120065;505.545;44026.000;2540629.240;1181260.186;455.777
$Tacheo;972.7225;1966.8344;3006.8314;3.829883;1.413034;43.4849;44026.050
$Tacheo;972.7446;1966.8085;3006.8163;3.829101;1.413398;43.4884;44026.159
